103.137.63.3:443#自优选
162.159.44.212:443#自优选
108.162.194.190:443#自优选
104.17.135.130:443#自优选
172.64.229.217:443#Tokyo_129 ms
104.16.14.194:443#San Jose_141 ms
162.159.22.142:443#San Jose_142 ms
185.146.173.49:443#San Jose_142 ms
104.17.116.34:443#San Jose_143 ms
104.16.207.144:443#San Jose_145 ms
104.16.106.195:443#San Jose_148 ms
104.17.105.147:443#San Jose_149 ms
104.19.132.111:443#Los Angeles_150 ms
104.18.92.52:443#San Jose_153 ms
104.19.190.167:443#San Jose_153 ms
104.19.98.141:443#San Jose_153 ms
104.19.172.214:443#San Jose_153 ms
104.19.108.181:443#San Jose_154 ms
104.16.150.144:443#San Jose_154 ms
104.17.188.138:443#San Jose_154 ms
104.16.176.212:443#San Jose_154 ms
104.16.163.71:443#San Jose_154 ms
104.16.93.227:443#San Jose_155 ms
104.16.63.84:443#San Jose_155 ms
104.18.164.162:443#San Jose_155 ms
162.251.82.22:443#San Jose_155 ms
104.16.181.59:443#San Jose_155 ms
198.41.203.9:443#San Jose_155 ms
